,Bike,length of longest straight,Right_Corners,Left_Corners,Year,track_width,MotoGP_avg_speed,GP_distance,corners,Rider_Name,points_mean,Track_Condition,Track_Temp,Humidity,Track,Finish_Time_ms,Category
74,yamaha,636.0,8.0,6.0,2012,15.0,165.5,113.5,14.0,andrea dovizioso,12.875862068965517,dry,23.0,79.0,cze - automotodrom brno,2590161.0,MotoGP
75,yamaha,530.0,10.0,6.0,2012,14.0,162.6,114.1,16.0,andrea dovizioso,12.875862068965517,dry,36.0,56.0,rsm - misano world circuit marco simoncelli,2575894.0,MotoGP
76,yamaha,968.0,7.0,10.0,2012,15.0,167.0,116.8,17.0,andrea dovizioso,12.875862068965517,dry,23.0,51.0,ara - motorland aragón,2541491.0,MotoGP
77,yamaha,762.0,8.0,6.0,2012,15.0,162.2,115.2,14.0,andrea dovizioso,12.875862068965517,dry,23.0,55.0,jpn - twin ring motegi,2567966.0,MotoGP
78,yamaha,876.0,5.0,9.0,2012,12.0,139.8,108.1,14.0,andrea dovizioso,12.875862068965517,wet,15.0,81.0,val - circuit ricardo tormo,2994242.0,MotoGP
79,honda,1068.0,10.0,6.0,2011,12.0,166.6,118.4,16.0,andrea dovizioso,12.875862068965517,dry,20.0,31.0,qat - losail international circuit,2564511.0,MotoGP
80,honda,674.0,9.0,5.0,2011,13.0,161.8,113.0,14.0,andrea dovizioso,12.875862068965517,dry,29.0,35.0,fra - le mans,2658169.0,MotoGP
81,honda,1047.0,8.0,6.0,2011,12.0,164.4,111.0,14.0,andrea dovizioso,12.875862068965517,dry,25.0,49.0,cat - circuit de barcelona-catalunya,2605034.0,MotoGP
82,honda,487.0,12.0,6.0,2011,14.0,173.1,118.1,18.0,andrea dovizioso,12.875862068965517,dry,16.0,82.0,ned - tt circuit assen,2532165.0,MotoGP
83,honda,700.0,3.0,10.0,2011,12.0,160.6,110.1,13.0,andrea dovizioso,12.875862068965517,dry,29.0,49.0,ger - sachsenring,2482995.0,MotoGP
84,honda,636.0,8.0,6.0,2011,15.0,165.5,113.5,14.0,andrea dovizioso,12.875862068965517,dry,37.0,37.0,cze - automotodrom brno,2603328.0,MotoGP
85,honda,530.0,10.0,6.0,2011,14.0,162.6,114.1,16.0,andrea dovizioso,12.875862068965517,dry,35.0,62.0,rsm - misano world circuit marco simoncelli,2669267.0,MotoGP
86,honda,762.0,8.0,6.0,2011,15.0,162.2,115.2,14.0,andrea dovizioso,12.875862068965517,dry,29.0,55.0,jpn - twin ring motegi,2591172.0,MotoGP
87,honda,876.0,5.0,9.0,2011,12.0,139.8,108.1,14.0,andrea dovizioso,12.875862068965517,wet,16.0,49.0,val - circuit ricardo tormo,2904581.0,MotoGP
88,honda,1068.0,10.0,6.0,2010,12.0,166.6,118.4,16.0,andrea dovizioso,12.875862068965517,dry,26.0,30.0,qat - losail international circuit,2571964.0,MotoGP
89,honda,607.0,8.0,6.0,2010,11.0,161.2,110.6,14.0,andrea dovizioso,12.875862068965517,dry,44.0,30.0,spa - circuito de jerez,2740682.0,MotoGP
90,honda,674.0,9.0,5.0,2010,13.0,161.8,113.0,14.0,andrea dovizioso,12.875862068965517,dry,51.0,21.0,fra - le mans,2676986.0,MotoGP
91,honda,487.0,12.0,6.0,2010,14.0,173.1,118.1,18.0,andrea dovizioso,12.875862068965517,dry,48.0,23.0,ned - tt circuit assen,2493952.0,MotoGP
92,honda,1047.0,8.0,6.0,2010,12.0,164.4,111.0,14.0,andrea dovizioso,12.875862068965517,dry,49.0,17.0,cat - circuit de barcelona-catalunya,2695207.0,MotoGP
93,honda,530.0,10.0,6.0,2010,14.0,162.6,114.1,16.0,andrea dovizioso,12.875862068965517,dry,39.0,43.0,rsm - misano world circuit marco simoncelli,2668513.0,MotoGP
94,honda,762.0,8.0,6.0,2010,15.0,162.2,115.2,14.0,andrea dovizioso,12.875862068965517,dry,34.0,44.0,jpn - twin ring motegi,2596134.0,MotoGP
95,honda,920.0,10.0,5.0,2010,16.0,164.0,110.9,15.0,andrea dovizioso,12.875862068965517,dry,43.0,27.0,mal - sepang international circuit,2463672.0,MotoGP
96,honda,876.0,5.0,9.0,2010,12.0,139.8,108.1,14.0,andrea dovizioso,12.875862068965517,dry,27.0,33.0,val - circuit ricardo tormo,2823782.0,MotoGP
